expression	gene	Subtype
3.14895036931674	ALKBH1	Cluster1
3.15029970810168	ALKBH1	Cluster1
3.21345616026946	ALKBH1	Cluster1
3.12437776815213	ALKBH1	Cluster1
3.15270263091575	ALKBH1	Cluster1
3.26641176603611	ALKBH1	Cluster1
3.22170697838643	ALKBH1	Cluster1
3.21719969018725	ALKBH1	Cluster1
3.26943716421581	ALKBH1	Cluster1
3.29791038344051	ALKBH1	Cluster1
3.20979645230026	ALKBH1	Cluster1
3.06203534108484	ALKBH1	Cluster1
3.10166688278872	ALKBH1	Cluster1
3.35918378997451	ALKBH1	Cluster1
3.1891445533126	ALKBH1	Cluster1
3.12353377229099	ALKBH1	Cluster1
3.17373509275824	ALKBH1	Cluster1
3.12591554947472	ALKBH1	Cluster1
3.18250162037325	ALKBH1	Cluster1
3.19419739388963	ALKBH1	Cluster1
3.21552329276571	ALKBH1	Cluster1
3.17584392270271	ALKBH1	Cluster1
3.16998911979707	ALKBH1	Cluster1
3.25534965769499	ALKBH1	Cluster1
3.3271555957016	ALKBH1	Cluster1
3.1652205656491	ALKBH1	Cluster1
3.20252742805338	ALKBH1	Cluster1
2.9547732730184	ALKBH1	Cluster1
3.24742627968374	ALKBH1	Cluster1
3.08588349899602	ALKBH1	Cluster1
3.27444058908078	ALKBH1	Cluster1
3.14917805713085	ALKBH1	Cluster1
3.17367114067521	ALKBH1	Cluster1
3.23609457863788	ALKBH1	Cluster1
3.07734555654592	ALKBH1	Cluster1
3.09149674253483	ALKBH1	Cluster1
3.3387809438947	ALKBH1	Cluster1
3.1461175323184	ALKBH1	Cluster1
3.14144914050847	ALKBH1	Cluster1
3.19361406319095	ALKBH1	Cluster1
2.9655442002317	ALKBH1	Cluster1
3.30554742400368	ALKBH1	Cluster1
3.17646639663461	ALKBH1	Cluster1
3.02091106558169	ALKBH1	Cluster1
3.3225771616267	ALKBH1	Cluster1
3.15791682629412	ALKBH1	Cluster1
3.25494167493103	ALKBH1	Cluster1
3.19580427446557	ALKBH1	Cluster1
3.32594760943238	ALKBH1	Cluster1
3.24211466602209	ALKBH1	Cluster1
3.18493086824683	ALKBH1	Cluster1
3.18680161592462	ALKBH1	Cluster1
3.1932671060636	ALKBH1	Cluster1
3.40876619880239	ALKBH1	Cluster1
3.11623166060415	ALKBH1	Cluster1
3.19501681153999	ALKBH1	Cluster1
3.09825110324591	ALKBH1	Cluster1
3.26486666677889	ALKBH1	Cluster1
3.14639454906051	ALKBH1	Cluster1
3.16800012451782	ALKBH1	Cluster1
3.05928604874619	ALKBH1	Cluster1
3.20080250388431	ALKBH1	Cluster1
3.28587564108755	ALKBH1	Cluster1
3.27012523029293	ALKBH1	Cluster1
3.18037067857779	ALKBH1	Cluster1
3.2043442075883	ALKBH1	Cluster1
3.1204017104948	ALKBH1	Cluster1
3.26933242973416	ALKBH1	Cluster1
3.10589594057414	ALKBH1	Cluster1
3.07525878405585	ALKBH1	Cluster1
3.07296327155522	ALKBH1	Cluster1
3.27923355081784	ALKBH1	Cluster1
3.17831627170145	ALKBH1	Cluster1
3.25485099642434	ALKBH1	Cluster1
3.28162407363973	ALKBH1	Cluster1
3.1753489440718	ALKBH1	Cluster1
3.19927972133662	ALKBH1	Cluster1
3.1440953290249	ALKBH1	Cluster1
3.2480034427634	ALKBH1	Cluster1
3.25803643817501	ALKBH1	Cluster1
3.19728354216622	ALKBH1	Cluster1
3.23516028486421	ALKBH1	Cluster1
3.15325408885218	ALKBH1	Cluster1
3.15982290983838	ALKBH1	Cluster1
3.14123658152569	ALKBH1	Cluster1
3.21017063564017	ALKBH1	Cluster1
3.04540802133007	ALKBH1	Cluster1
3.14417692434653	ALKBH1	Cluster1
3.2104979664704	ALKBH1	Cluster1
3.0964136721907	ALKBH1	Cluster1
3.25836816500158	ALKBH1	Cluster1
3.27127625917593	ALKBH1	Cluster1
3.12083297971093	ALKBH1	Cluster1
3.22694004070925	ALKBH1	Cluster1
3.13417164409928	ALKBH1	Cluster1
3.1738310155677	ALKBH1	Cluster1
3.20651820166512	ALKBH1	Cluster1
3.19967234483636	ALKBH1	Cluster1
3.06923814768419	ALKBH1	Cluster1
3.26286908755548	ALKBH1	Cluster1
3.23258401565135	ALKBH1	Cluster1
3.19088346407185	ALKBH1	Cluster1
3.20489192483723	ALKBH1	Cluster1
3.12114805647531	ALKBH1	Cluster1
2.99416332804603	ALKBH1	Cluster1
