expression	gene	Subtype
1.99117260925272	CD274	high
2.52102560262208	CD274	high
2.85949254539278	CD274	high
2.32337006906127	CD274	high
1.43429461795993	CD274	high
2.64975339940494	CD274	high
2.72432284538798	CD274	high
2.21695145789656	CD274	high
2.26807502253432	CD274	high
2.35495986378009	CD274	high
2.51419802334758	CD274	high
2.24336442569366	CD274	high
2.61112515521083	CD274	high
2.7159812031884	CD274	high
2.22413291005206	CD274	high
2.18323241260437	CD274	high
2.17986133104377	CD274	high
2.01617536834643	CD274	high
2.40844014146164	CD274	high
1.60426113947611	CD274	high
2.44116473412915	CD274	high
2.27593079191634	CD274	high
2.47811758023564	CD274	high
1.82195506470135	CD274	high
2.79114725656018	CD274	high
2.30911796616489	CD274	high
1.82097541660516	CD274	high
2.29701528841447	CD274	high
2.89503112091483	CD274	high
1.84995923963112	CD274	high
2.79233480570669	CD274	high
2.37534531979267	CD274	high
2.34110335620845	CD274	high
2.87148884380837	CD274	high
2.48848930140445	CD274	high
2.27789550567118	CD274	high
2.34224182421196	CD274	high
2.00108161572545	CD274	high
2.37222778347286	CD274	high
2.56640115679841	CD274	high
2.35712969060593	CD274	high
2.58731698031928	CD274	high
1.89743406292035	CD274	high
2.39906169099571	CD274	high
2.71241969708052	CD274	high
2.59191872937568	CD274	high
2.14342607325891	CD274	high
2.60031733501462	CD274	high
2.42873200089346	CD274	high
2.69186911714163	CD274	high
2.2245033939183	CD274	high
2.83003216791289	CD274	high
2.5000116679272	CD274	high
1.58477012855728	CD274	high
2.13313604592598	CD274	high
2.59991284218713	CD274	high
2.63710012405633	CD274	high
2.2300492652935	CD274	high
2.22952639925226	CD274	high
2.85001926896729	CD274	high
2.2050483772943	CD274	high
2.83879045031175	CD274	high
1.53037043998073	CD274	high
2.50961984194878	CD274	high
2.85251827366083	CD274	high
1.70624320051389	CD274	high
2.58933205187126	CD274	high
2.57347147850007	CD274	high
2.33419639912305	CD274	high
1.82077123949492	CD274	high
2.46584389795881	CD274	high
1.92444198619348	CD274	high
2.34545315093843	CD274	high
2.36843312446466	CD274	high
2.71422353357419	CD274	high
1.88931777757297	CD274	high
2.31851931064145	CD274	high
1.64417931727495	CD274	high
2.10587918307446	CD274	high
1.92375770394782	CD274	high
2.56610885192817	CD274	high
2.57194372632846	CD274	high
2.71571768922239	CD274	high
2.42427716417631	CD274	high
2.73807604188017	CD274	high
2.68820274313074	CD274	high
2.61812116750215	CD274	high
2.64032014242463	CD274	high
2.23106369991227	CD274	high
2.44935007199432	CD274	high
2.64360225310045	CD274	high
1.75017770559306	CD274	high
2.37828965309545	CD274	high
2.63971838300591	CD274	high
2.70048410807482	CD274	high
2.28187625804191	CD274	high
2.71569572755245	CD274	high
2.72733236843782	CD274	high
2.50898635299916	CD274	high
2.15435637275727	CD274	high
2.03040671042605	CD274	high
1.9246320070097	CD274	high
2.54448538623609	CD274	high
2.41131776833697	CD274	high
2.280570356128	CD274	high
2.48246110364827	CD274	high
2.6989740835745	CD274	high
2.36165608306275	CD274	high
1.76837490676251	CD274	high
2.08549264216447	CD274	high
2.58209831429871	CD274	high
2.45428119555006	CD274	high
2.43432130957316	CD274	high
2.40163046658474	CD274	high
2.98376888619273	CD274	high
2.16304781962383	CD274	high
1.94815227153258	CD274	high
2.79906657754807	CD274	high
2.33350960587431	CD274	high
2.18865411783673	CD274	high
2.79310514805888	CD274	high
2.63844460271738	CD274	high
1.95906532482044	CD274	high
1.98433414484049	CD274	high
2.71006251370151	CD274	high
2.38142182027903	CD274	high
2.64715330556452	CD274	high
2.52182968243578	CD274	high
2.26375557307745	CD274	high
2.68360663392043	CD274	high
2.85055942062277	CD274	high
2.58806096540181	CD274	high
2.57860063615274	CD274	high
2.57879383267675	CD274	high
2.21769602667169	CD274	high
2.67342074096035	CD274	high
1.68356172163026	CD274	high
2.7484827015205	CD274	high
2.43458819854848	CD274	high
2.20670573107991	CD274	high
2.65516861760959	CD274	high
2.39454157979015	CD274	high
1.94482097272241	CD274	high
3.04961334376623	CD274	high
2.86104222829589	CD274	high
2.24513053141183	CD274	high
2.48408655941161	CD274	high
2.75962458025474	CD274	high
2.55949181320504	CD274	high
2.18529569588892	CD274	high
2.47853181300034	CD274	high
2.38664542703028	CD274	high
2.33745420960853	CD274	high
1.5240135116561	CD274	low
2.47038067855558	CD274	low
2.59146400179373	CD274	low
2.78757873267093	CD274	low
2.21899809809662	CD274	low
2.52208086549945	CD274	low
2.68755345030925	CD274	low
2.71246371993699	CD274	low
2.70396446288566	CD274	low
3.23054120146292	CD274	low
1.90585148105293	CD274	low
2.22601521640299	CD274	low
2.40645503671641	CD274	low
2.7007060372584	CD274	low
1.73357127092638	CD274	low
2.34548153787415	CD274	low
2.65917105570893	CD274	low
1.98371417198763	CD274	low
2.28131249085814	CD274	low
2.66836878284203	CD274	low
2.43290597313692	CD274	low
2.80246208128545	CD274	low
2.35241955921516	CD274	low
2.8937699135254	CD274	low
2.99656952397319	CD274	low
2.79420789531891	CD274	low
2.01349799174898	CD274	low
2.82138368415773	CD274	low
2.35366204474506	CD274	low
2.43893154193454	CD274	low
2.30856474646877	CD274	low
2.34391942636819	CD274	low
2.04404433270602	CD274	low
2.08185088906294	CD274	low
2.29645740737124	CD274	low
2.50309426915734	CD274	low
2.26387573257786	CD274	low
2.34110335620845	CD274	low
2.57473126266284	CD274	low
2.11103131238874	CD274	low
2.56044595235571	CD274	low
2.57468282976176	CD274	low
1.28095631383106	CD274	low
1.87125225885525	CD274	low
1.89079686610273	CD274	low
2.41513668115357	CD274	low
2.18218376912147	CD274	low
1.97768290582754	CD274	low
2.50797219173924	CD274	low
2.26645674413594	CD274	low
2.64556333027527	CD274	low
1.75120660974285	CD274	low
2.67099891487449	CD274	low
2.43156947605128	CD274	low
2.15331895240048	CD274	low
1.83256600416009	CD274	low
1.92470800832887	CD274	low
1.97129522809516	CD274	low
2.40672713038417	CD274	low
2.605257262939	CD274	low
2.38810685885348	CD274	low
2.55816965483461	CD274	low
2.64839641290501	CD274	low
2.45990369613312	CD274	low
0.94755395320741	CD274	low
2.14753464612773	CD274	low
2.87048308970497	CD274	low
2.39055763597413	CD274	low
2.31257805166212	CD274	low
2.11643130013133	CD274	low
2.14623160447762	CD274	low
2.68903072718487	CD274	low
1.40141202536381	CD274	low
2.1581754259302	CD274	low
2.34653146202802	CD274	low
2.55667464663168	CD274	low
1.41532600943697	CD274	low
2.59266034576643	CD274	low
0.934629723699663	CD274	low
2.43071346769515	CD274	low
0	CD274	low
2.63089467463988	CD274	low
2.26837450461891	CD274	low
2.2190910582462	CD274	low
2.20470415949033	CD274	low
2.50431529687706	CD274	low
2.19452836858297	CD274	low
2.4971269151037	CD274	low
2.50891031562908	CD274	low
2.10802256251641	CD274	low
2.25741801639104	CD274	low
2.50016467949217	CD274	low
1.83321395141742	CD274	low
2.21256933885081	CD274	low
2.44023465744575	CD274	low
2.59516944359041	CD274	low
2.97552013669529	CD274	low
2.21294280378711	CD274	low
2.77820857639809	CD274	low
2.47186376840765	CD274	low
2.73926485957932	CD274	low
2.78224079993609	CD274	low
2.44726179517457	CD274	low
2.68477386298158	CD274	low
2.5811825010383	CD274	low
2.60720009539752	CD274	low
2.30185099488588	CD274	low
2.32010915296163	CD274	low
2.67199529818489	CD274	low
1.90180335025074	CD274	low
1.44683848468824	CD274	low
2.07748228869064	CD274	low
2.47131754424631	CD274	low
1.89743406292035	CD274	low
2.82232226130316	CD274	low
1.81594425260496	CD274	low
2.30544527855355	CD274	low
2.51568722450177	CD274	low
2.80568455118065	CD274	low
1.86457246275713	CD274	low
2.62281324429721	CD274	low
1.52747075045858	CD274	low
1.79888000741126	CD274	low
2.25050687109497	CD274	low
2.03033607837096	CD274	low
2.58606814314371	CD274	low
2.42993727116638	CD274	low
2.25311188930331	CD274	low
2.78268114143668	CD274	low
2.43210422346868	CD274	low
2.40547507438752	CD274	low
2.3313612672683	CD274	low
2.17989317053355	CD274	low
2.64581692203441	CD274	low
2.46733165655231	CD274	low
2.62770021342763	CD274	low
2.39536447226107	CD274	low
1.96857003435501	CD274	low
2.09285014683295	CD274	low
2.77401741698975	CD274	low
