expression	Subtype	gene
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0.000566716035496095	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0.00204331607153567	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0	Cluster1	Eosinophils
0.0177632796049009	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster1	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
0	Cluster2	Eosinophils
